City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,terrace,54.5163,-128.6035,11.95,40,40,4.12,CA,1680213594
334,khasan,42.4308,130.6434,6.35,55,0,1.64,RU,1680213594
335,hay river,60.8156,-115.7999,-11.02,61,75,7.72,CA,1680213437
336,pryluky,50.5932,32.3876,-0.28,81,3,2.63,UA,1680213594
337,kannad,20.2667,75.1333,23.7,49,94,3.35,IN,1680213595
338,burns lake,54.2331,-125.7533,7.68,71,85,2.48,CA,1680213595
339,matara,5.9485,80.5353,24.28,91,11,1.24,LK,1680213595
340,katangli,51.7102,143.2326,0.09,92,99,3.41,RU,1680213595
341,novyy yarychiv,49.9044,24.3052,5.46,82,100,4.79,UA,1680213595
342,port elizabeth,-33.918,25.5701,17.16,82,0,5.14,ZA,1680213551
343,pacific grove,36.6177,-121.9166,14.08,66,40,5.66,US,1680213456
344,lagoa,39.05,-27.9833,14.02,75,100,4.95,PT,1680213596
345,ondjiva,-17.0667,15.7333,21.02,83,23,0.0,AO,1680213596
346,havre-saint-pierre,50.2334,-63.5986,0.0,93,100,6.69,CA,1680213596
347,sola,-13.8833,167.55,27.91,73,65,3.72,VU,1680213596
348,alamosa,37.4695,-105.87,7.62,37,45,16.24,US,1680213596
349,ust-barguzin,53.45,108.9833,-1.14,92,17,2.49,RU,1680213596
350,port-gentil,-0.7193,8.7815,27.71,76,100,4.57,GA,1680213569
351,bandarbeyla,9.4942,50.8122,26.79,73,4,2.68,SO,1680213596
352,boyolangu,-8.1181,111.8935,23.5,91,93,0.33,ID,1680213597
353,koslan,63.4564,48.8989,1.53,91,100,5.26,RU,1680213597
354,vangaindrano,-23.35,47.6,23.32,94,97,2.03,MG,1680213597
355,tres arroyos,-38.3739,-60.2798,15.76,35,30,3.52,AR,1680213597
356,alekseyevsk,57.8406,108.3492,-6.71,94,100,4.41,RU,1680213597
357,ikeda,34.8221,135.4298,13.29,59,100,2.57,JP,1680213597
358,lumphat,13.4878,106.9816,25.36,79,90,1.18,KH,1680213598
359,adrar,20.5022,-10.0711,27.91,9,0,7.91,MR,1680213598
360,beaverlodge,55.2166,-119.4361,0.64,81,100,0.98,CA,1680213598
361,ribeira brava,32.65,-17.0667,22.85,28,10,2.1,PT,1680213598
362,kulunda,52.566,78.9385,-3.55,68,6,3.57,RU,1680213598
363,iquitos,-3.7481,-73.2472,30.02,66,40,3.09,PE,1680213598
364,shelburne,44.0787,-80.2041,3.2,56,46,4.61,CA,1680213598
365,takoradi,4.8845,-1.7554,26.91,81,100,3.87,GH,1680213599
366,kuryk,43.2,51.65,7.97,67,50,9.86,KZ,1680213599
367,alexandria,31.2156,29.9553,12.3,50,6,6.26,EG,1680213599
368,ust-omchug,61.15,149.6333,-6.05,92,99,2.97,RU,1680213599
369,nicoya,10.1483,-85.452,33.11,32,4,5.11,CR,1680213599
370,tuatapere,-46.1333,167.6833,11.59,64,20,1.81,NZ,1680213599
371,san quintin,30.4833,-115.95,15.19,58,5,6.83,MX,1680213600
372,thompson,55.7435,-97.8558,-7.91,41,20,5.14,CA,1680213600
373,oksovskiy,62.6062,39.8984,-5.06,94,99,1.66,RU,1680213601
374,muros,42.7762,-9.0603,16.72,84,100,9.55,ES,1680213637
375,hualmay,-11.0964,-77.6139,23.9,87,74,5.35,PE,1680213640
376,vardo,70.3705,31.1107,-3.74,85,80,8.59,NO,1680213641
377,talcahuano,-36.7167,-73.1167,17.82,55,0,7.2,CL,1680213641
378,acarau,-2.8856,-40.12,25.95,82,25,4.47,BR,1680213561
379,la cruz,23.9167,-106.9,24.88,39,100,4.39,MX,1680213643
380,ouro preto do oeste,-10.7481,-62.2158,24.92,93,99,1.49,BR,1680213644
381,sanming,26.2486,117.6186,15.57,96,99,0.56,CN,1680213644
382,killybegs,54.6333,-8.45,8.87,92,100,3.79,IE,1680213645
383,amarante do maranhao,-5.5667,-46.7422,23.6,95,83,1.43,BR,1680213645
384,waslala,13.2333,-85.3833,27.67,49,92,2.6,NI,1680213646
385,kirkwall,58.9848,-2.9587,7.76,93,20,2.57,GB,1680213646
386,san patricio,28.017,-97.5169,27.32,72,100,9.62,US,1680213544
387,nampa,43.5407,-116.5635,7.49,86,75,7.2,US,1680213398
388,sept-iles,50.2001,-66.3821,-1.08,93,100,3.6,CA,1680213540
389,opuwo,-18.0607,13.84,21.67,41,86,2.35,,1680213579
390,paraiso,9.8383,-83.8656,23.48,76,36,3.02,CR,1680213648
391,yanam,16.7333,82.2167,23.62,90,22,1.05,IN,1680213649
392,narsaq,60.9167,-46.05,-10.43,81,0,1.79,GL,1680213579
393,belen,36.4891,36.2233,5.08,31,40,9.26,TR,1680213649
394,denpasar,-8.65,115.2167,25.81,100,20,0.51,ID,1680213565
395,wanning,18.8003,110.3967,22.74,98,87,1.05,CN,1680213649
396,fukue,32.6881,128.8419,14.54,71,100,5.36,JP,1680213650
397,lang son,21.8333,106.7333,17.83,92,100,0.95,VN,1680213650
398,nishihara,26.1842,127.7558,21.81,88,75,4.63,JP,1680213650
399,salalah,17.0151,54.0924,24.13,66,4,2.06,OM,1680213650
400,victoria,22.2855,114.1577,21.25,93,100,0.89,HK,1680213436
401,pitimbu,-7.4706,-34.8086,26.33,79,24,2.73,BR,1680213651
402,gat,31.61,34.7642,12.38,100,31,7.99,IL,1680213651
403,izumo,35.3667,132.7667,7.97,93,0,1.03,JP,1680213651
404,scarborough,54.2797,-0.4044,10.74,85,49,3.58,GB,1680213644
405,port keats,-14.25,129.55,25.43,77,96,2.19,AU,1680213652
406,portland,45.5234,-122.6762,13.67,66,75,4.02,US,1680213515
407,okahandja,-21.9833,16.9167,17.38,28,0,3.72,,1680213652
408,souillac,-20.5167,57.5167,27.21,89,40,5.14,MU,1680213652
409,atar,20.5169,-13.0499,31.2,12,78,2.81,MR,1680213652
410,rudnya,54.947,31.0934,-4.36,95,16,2.92,RU,1680213652
411,phalaborwa,-23.943,31.1411,19.43,89,9,2.33,ZA,1680213653
412,iqaluit,63.7506,-68.5145,-16.15,77,20,0.0,CA,1680213595
413,duldurga,50.6761,113.5931,1.83,65,1,2.6,RU,1680213653
414,erenhot,43.6475,111.9767,9.01,40,76,4.61,CN,1680213653
415,kristiinankaupunki,62.2743,21.376,-3.6,81,98,3.16,FI,1680213653
416,geraldton,-28.7667,114.6,18.23,94,40,3.09,AU,1680213653
417,payo,-3.7508,103.6372,21.36,97,100,1.0,ID,1680213653
418,yeppoon,-23.1333,150.7333,22.88,82,4,1.33,AU,1680213653
419,karratha,-20.7377,116.8463,27.75,75,19,2.15,AU,1680213654
420,lujan,-34.5703,-59.105,22.25,71,74,1.79,AR,1680213654
421,namibe,-15.1961,12.1522,23.28,81,96,2.1,AO,1680213586
422,port macquarie,-31.4333,152.9167,17.72,52,0,0.81,AU,1680213654
423,listvyanskiy,54.4399,83.4984,-6.85,93,60,4.12,RU,1680213654
424,khandbari,27.3747,87.2039,15.73,43,8,3.29,NP,1680213654
425,honiara,-9.4333,159.95,28.09,72,100,2.09,SB,1680213655
426,ketchikan,55.3422,-131.6461,5.99,77,93,2.94,US,1680213655
427,mazyr,52.0495,29.2456,-1.7,92,27,2.78,BY,1680213655
428,kachiry,53.0675,76.1036,-5.66,72,8,4.04,KZ,1680213655
429,la mana,-0.9333,-79.2167,23.43,95,100,1.49,EC,1680213655
430,beringovskiy,63.05,179.3167,-11.09,83,11,4.08,RU,1680213655
431,shirvan,39.9509,48.8994,8.75,60,4,0.22,AZ,1680213656
432,vanimo,-2.6741,141.3028,27.47,74,100,2.38,PG,1680213656
433,bilma,18.6853,12.9164,25.62,12,54,4.87,NE,1680213656
434,tuscaloosa,33.2098,-87.5692,25.05,26,11,3.12,US,1680213646
435,codrington,-38.2667,141.9667,14.64,71,100,2.77,AU,1680213656
436,umm lajj,25.0213,37.2685,19.46,54,2,2.93,SA,1680213656
437,jinka,5.65,36.65,16.53,88,73,3.12,ET,1680213657
438,cumra,37.5732,32.7745,-3.07,67,11,6.06,TR,1680213657
439,rypefjord,70.6333,23.6667,-0.74,100,100,6.17,NO,1680213657
440,kommunisticheskiy,61.6789,64.4819,-8.67,86,92,3.47,RU,1680213657
441,rawlins,41.7911,-107.2387,1.31,80,100,7.2,US,1680213440
442,naze,28.3667,129.4833,17.51,86,98,9.07,JP,1680213658
443,klyuchi,52.2667,79.1667,-3.52,67,6,3.49,RU,1680213658
444,hofn,64.2539,-15.2082,7.14,100,100,3.75,IS,1680213658
445,tigzirt,36.8886,4.1198,16.49,73,8,5.28,DZ,1680213658
446,tchibanga,-2.85,11.0333,22.34,97,100,1.55,GA,1680213658
447,sal rei,16.1833,-22.9167,22.28,83,79,4.97,CV,1680213658
448,beyneu,45.3167,55.2,12.33,64,22,6.87,KZ,1680213587
449,oussouye,12.485,-16.5469,26.1,83,2,3.84,SN,1680213659
450,pinotepa nacional,16.3167,-98.0167,33.46,35,92,5.15,MX,1680213659
451,dryden,49.7833,-92.7503,1.16,40,75,6.69,CA,1680213624
452,sinnamary,5.3833,-52.95,26.56,80,72,6.03,GF,1680213659
453,kloulklubed,7.0419,134.2556,28.35,71,68,2.01,PW,1680213659
454,talaya,61.3833,152.75,-6.93,83,80,3.79,RU,1680213659
455,pauini,-7.7136,-66.9764,25.58,92,58,1.61,BR,1680213660
456,puyang,29.4603,119.8861,10.77,97,100,1.25,CN,1680213660
457,conway,35.0887,-92.4421,24.41,39,40,6.17,US,1680213600
458,taywarah,33.35,64.4167,4.52,68,19,1.42,AF,1680213660
459,mtambile,-5.3833,39.7,27.77,74,2,2.76,TZ,1680213660
460,santa cruz,-17.8,-63.1667,32.7,58,75,4.63,BO,1680213415
461,karwar,14.8,74.1333,22.34,86,11,2.1,IN,1680213661
462,amapa,1.0,-52.0,23.21,96,69,0.39,BR,1680213661
463,lata,40.1629,-8.3327,12.0,92,100,1.84,PT,1680213556
464,ongandjera,-17.8833,15.0667,23.33,51,37,3.51,,1680213662
465,staraya mayna,54.6,48.95,6.06,80,100,6.14,RU,1680213663
